;Country;Days;CumConfirmed;CumConfirmed_per_million;CumDeaths;CumRecovered;smoothed_cumulative_testing_count;SmoothedCumTesting_per_thousand;Population;Pop_Density;Land_Area_Kmsq;HealthCapacityScore;RecoveryRate;FatalityRate;Active;Population Interval;Health Capacity Score Interval
0;Afghanistan;215;0.05181700274555483;0.22752423650900694;0.06908615944395204;0.05292666830320313;0.0;0.0;0.2702333733202988;0.02202392253654832;0.3986470185479288;5.574.412.532.637.070;8.299.999.999.999.990;13.793.103.448.275.800;0.011615604995565893;10-50m;35 to 50
1;Albania;219;0.02067005013002191;12.306.650.669.660.300;0.02024537015440593;0.015490499969295107;0.0;0.0;0.019758813764158813;0.03911144864249098;0.016730304186960282;13.446.475.195.822.400;6.1;10.344.827.586.206.800;0.012966780450653047;1-10m;10 to 20
2;Algeria;225;0.06942535109802757;0.2707387850322094;0.08522647758548303;0.05966905043489079;0.0;0.0;0.30443564339884577;0.006075564837668502;14.543.311.056.588.400;0.9138381201044388;7.0;10.344.827.586.206.800;0.03187197702641413;10-50m; less than 10
3;Andorra;213;0.0041306412470701334;9.168.717.851.932.210;0.0027522507813593318;0.003191087424529037;0.0;0.0;0.0003010790366550526;0.06151509398139358;0.00028637952712450715;2.036.553.524.804.170;6.3;0.6896551724137931;0.0025199422237375405;< 1m;10 to 20
4;Angola;194;0.008867662702304893;0.045614634891701;0.010589168260484208;0.0044446722407289075;0.0;0.0;0.22811486591152877;0.009113347256502754;0.7612560129778165;0.2872062663185379;4.1;10.344.827.586.206.800;0.008595727853446106;10-50m; less than 10
5;Antigua_and_Barbuda;196;0.00014252526260279631;0.25335588107261264;0.0001399449549843728;0.00015868162230378105;0.0;0.0;0.0004446498404913014;0.08391873932029618;0.0002680610072657967;1.174.934.725.848.560;8.9;10.344.827.586.206.800;1,80E+11;< 1m; less than 10
6;Argentina;215;11.095.811.959.942.600;4.207.534.937.263.990;10.593.833.092.317.000;10.867.215.694.501.000;0.17374670950822615;0.3249303924090573;0.3137786538054814;0.00569584203531422;16.710.697.264.538.100;5.939.947.780.678.850;8.0;10.344.827.586.206.800;0.33512304028889933;10-50m;35 to 50
7;Armenia;215;0.07595559949364661;43.931.458.471.913.400;0.04846760274292111;0.07412494622676524;0.0;0.0;0.020352481539255216;0.0387317258401367;0.01738366472858762;2.284.595.300.261.090;8.0;0.6896551724137931;0.024481047287087405;1-10m;10 to 20
8;Australia;256;0.035417527756794895;0.23744490301991272;0.04217007976862434;0.039743399122205;0.6651089417567283;22.045.814.656.762.000;0.17693415324555423;0.0003797228023542813;4.690.944.893.068.380;8.590.078.328.981.720;9.200.000.000.000.000;10.344.827.586.206.800;0.0031212153012513235;10-50m;>=65
9;Austria;227;0.0742738013949336;14.129.706.914.068.600;0.040164202080514994;0.07132580240932655;0.15216268376105602;14.280.012.768.843.100;0.06233954217887224;0.0406303398519081;0.05031975281722044;4.112.271.540.469.970;7.800.000.000.000.000;0.6896551724137931;0.025931308942214282;1-10m;20 to 35
10;Azerbaijan;219;0.05538790841585762;0.9357606099166544;0.02873536409012455;0.06279031794560616;0.0;0.0;0.07020994440490894;0.04594645908486804;0.05047179653204774;2.741.514.360.313.310;9.3;0.3448275862068966;0.005771771152313956;10-50m;20 to 35
11;Bahamas;202;0.006723305342235547;29.310.584.712.587.100;0.005084666697765545;0.004884220334510381;0.0;0.0;0.002496460329017329;0.014049743687108412;0.006111668842194439;16.710.182.767.624.000;58.999.999.999.999.900;0.6896551724137931;0.00451067406089928;< 1m;10 to 20
12;Bahrain;233;0.09927402813966957;10.0;0.013388067360171665;0.11514097195984657;0.1293460228026378;6.425.006.239.226.020;0.011586575183541297;0.8494399088665274;0.0004634585524253751;0.9007832898172325;9.5;0.0;0.008494389694314571;1-10m; less than 10
13;Bangladesh;210;0.4920179374521406;0.51144749334188;0.2591314083127303;0.4671444147163241;0.1721700945853469;0.08836162194986037;11.440.048.199.603.600;0.4795898993734573;0.07948344704961616;3.511.749.347.258.480;7.800.000.000.000.000;0.3448275862068966;0.17968606789476504;100-500m;20 to 35
14;Barbados;207;0.00027598073576723294;0.16551117756213468;0.0003265382282968699;0.00030466871482325963;0.0;0.0;0.0017608961869664272;0.25289538636795134;0.00026195483397955984;23.237.597.911.227.100;8.9;10.344.827.586.206.800;3,38E+10;< 1m;10 to 20
15;Belarus;201;0.10099080971193052;1.831.349.258.211.640;0.038344917665718146;0.11768939881404529;0.1509043119382902;13.498.096.404.208.200;0.06541692788779456;0.017087526105942663;0.12389975153370282;8.172.323.759.791.120;9.5;0.3448275862068966;0.0066567910753960405;1-10m;50 to 65
16;Belgium;223;0.21023253644435747;31.086.930.463.459.100;0.4753930120819144;0.032167938473422496;0.30828121669500996;22.482.744.544.106.600;0.08028745592935105;0.1446743876969812;0.018488882093396487;6.697.127.937.336.810;1.2;20.689.655.172.413.700;0.29679469654626045;10-50m;50 to 65
17;Belize;188;0.003390805565741073;14.621.700.156.264.400;0.0018659327331249707;0.0025325586919683458;0.0;0.0;0.0025269197949492933;0.00569584203531422;0.013927570648577577;283.289.817.232.376;6.1;0.6896551724137931;0.0022114238281593073;< 1m;20 to 35
18;Benin;197;0.0032081140927683978;0.04474910792592817;0.001912581051453095;0.0036972817996780987;0.0;0.0;0.08399468002916397;0.04025061704955382;0.06885259935827784;0.1305483028720627;9.399.999.999.999.990;0.6896551724137931;0.00023870766373206373;10-50m; less than 10
19;Bhutan;157;0.0004068448405207096;0.09030732054657688;0.0;0.0004696976020191919;0.0;0.0;0.005125284546143657;0.0068350104423770645;0.023274290097820286;27.545.691.906.005.200;9.399.999.999.999.990;0.0;4,28E+11;< 1m;20 to 35
20;Bolivia;213;0.179702329510633;26.381.680.798.538.900;0.38839389839996263;0.16109834341146764;0.025817615852696835;0.1869409469588571;0.080866894464888;0.0034175052211885323;0.6614811414807068;0.40469973890339433;7.3;20.689.655.172.413.700;0.06495776000331488;10-50m; less than 10
21;Bosnia_and_Herzegovina;217;0.04101229215605739;2.142.201.554.679.650;0.044689088958343046;0.038201013753412255;0.0;0.0;0.022558958581410684;0.023542813745965445;0.03114087314247919;1.906.005.221.932.110;7.6;10.344.827.586.206.800;0.014912473105978548;1-10m;10 to 20
22;Botswana;187;0.004551738613851122;0.3313152474529757;0.0009329663665624854;0.0013535542382512524;0.0;0.0;0.01610305254394399;0.0007594456047085627;0.346054548033571;0.731070496083551;2.4;0.3448275862068966;0.005947423961475286;1-10m; less than 10
23;Brazil;197;5.824.335.022.473.640;4.696.113.568.688.420;6.334.515.090.730.970;6.184.678.115.122.560;0.523554361332787;0.20818670818086205;14.765.996.351.485.400;0.008733624454148471;5.103.624.508.445.410;7.193.211.488.250.650;8.7;10.344.827.586.206.800;10.400.673.065.533.300;100-500m;50 to 65
24;Brunei;219;0.00018787420979459515;0.07397956458081796;0.0001399449549843728;0.0002269147198944069;0.0;0.0;0.0028037993973340372;0.03075754699069679;0.0032173427045181836;5.0;9.7;0.6896551724137931;0.0;< 1m;35 to 50
25;Bulgaria;216;0.0344535387079178;0.8493379679511711;0.04333628772682745;0.02616501270167046;0.04810296426372504;0.5851346095367028;0.04804115046055925;0.023542813745965445;0.06628800657805838;6.501.305.483.028.720;6.2;10.344.827.586.206.800;0.020659472708282573;1-10m;50 to 65
26;Burkina_Faso;212;0.0029839607252203633;0.023843292861045248;0.002938844054671829;0.0025087564486227787;0.0;0.0;0.14499749353821087;0.02809948737421682;0.16706429049411095;0.07832898172323761;68.999.999.999.999.900;10.344.827.586.206.800;0.0014862930005958685;10-50m; less than 10
27;Burma;192;0.02595385031996921;0.08112450965038263;0.02197135793254653;0.00917497140160462;0.0253992309372548;0.03945617863607434;0.37779651672592746;0.03075754699069679;0.398909583999237;2.545.691.906.005.220;2.9;0.6896551724137931;0.031029744326076473;50-100m;20 to 35
28;Burundi;176;0.0006828255762879424;0.009233783049035061;4,66E+10;0.0007886476628497918;0.0;0.0;0.08237988367103362;0.17505221188532372;0.015680042381727547;0.11749347258485639;9.399.999.999.999.990;0.0;6,76E+10;10-50m; less than 10
29;Cabo_Verde;185;0.009547896910181874;2.943.728.447.014.210;0.0036852171479218173;0.009949337718447072;0.0;0.0;0.0036271776794200893;0.05164230112018226;0.002460177217024817;0.7571801566579636;8.5;0.3448275862068966;0.0022992502327399723;< 1m; less than 10
30;Cambodia;208;0.00036408726173987063;0.003112649348230705;0.0;0.0004395480937814735;0.0;0.0;0.11592546183774402;0.035314220618948164;0.10778556023132384;2.402.088.772.845.950;9.8;0.0;1,13E+10;10-50m;10 to 20
31;Cameroon;213;0.027778173681285004;0.17873562200444693;0.019732238652796566;0.03192198195885163;0.0;0.0;0.18420148027932484;0.020505031327131194;0.2886443067963724;3.550.913.838.120.100;9.399.999.999.999.990;0.6896551724137931;0.0020267631826307296;10-50m;20 to 35
32;Canada;234;0.24885169987289335;1.129.541.230.386.140;0.45337500583103973;0.2571657843703997;0.6821584570175491;15.276.721.309.120.800;0.2619918644670212;0.0007594456047085627;5.552.654.173.395.410;5.587.467.362.924.280;8.4;1.724.137.931.034.480;0.04566973038194577;10-50m;35 to 50
33;Central_African_Republic;186;0.006287955449194278;0.22260485387383108;0.0028921957363437045;0.0030530344131247476;0.0;0.0;0.03332084928314074;0.002278336814125688;0.38040177276865317;0.18276762402088775;4.0;0.3448275862068966;0.006458618675316592;1-10m; less than 10
34;Chad;191;0.0017193729406719158;0.017322511364042923;0.0042916452861874324;0.001777234169802348;0.0;0.0;0.1138890339353433;0.004176950825897095;0.7688887295856126;0.039164490861618814;8.4;24.137.931.034.482.700;0.00026122725465018294;10-50m; less than 10
